      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      কোবিদ-১৯না শোকহল্লবা মীওইশিং
      Posted On: 18 SEP 2020 4:30PM by PIB Imphal


    কোবিদ-১৯না নাখিবা, নাবা ফখিবা অমসুং শিবগী অপুনবা মশিং অসি মখাদা পীরিঃ


    রাজ্য/য়ু.তি.শিংগী ওইবা অপুনবা কোবিদ-১৯গী কেস, এক্তিব কেস, নাবা ফরবা কেস অমসুং শিখিবশিং (১৬/৯/২০২০ ফাওবা)-

                                                                                                                                        
মথং-মনাও  রাজ্য/য়ু.তি.                       অপুনবা কেস মশিং  এক্তিব কেস  অপুনবা নাবা ফরবা/দিসচার্জ তৌরবা/মাইগ্রেৎ তৌরবা  অপুনবা লৈখিদবা
    এম.ও.ঐচ.এফ.দবল্যু.গী ৱেবসাইৎ নূংতিগী অপদেৎ তোউদুনা ভারত্তা কোবিদ-১৯ শন্দোকপগী মরী লৈনবা ই-পাউশিং মীয়ামদা ফংহন্নবা হোৎনরি। এম.ও.ঐচ.এফ.দবল্যু.গী ৱেবসাইৎ অমসুং সোসিএল মীদিয়াগী খুত্থাংদা পাউ ফাওনবগী পাম্বৈ কয়া অমসু পীরি। খুন্নাইগী মীওইশিংনা চাং নাইনা শিজিন্নবা য়ানবা অমসুং মখোয়গী তেংবাংনবা দেদিকেতেদ কোল সেন্তর/হেল্পলাইন (১০৭৫) অমসু হৌদোকখি।


    শেম-শাবগী তোঙান তোঙানবা থাক্তা লৈরিবা বেক্সিন কেন্দিদেৎ ৩০ হেনবা অসি শৌগত্তুনা লাক্লি অমসুং মসিগী মনুংদা কেন্দিদেৎ ৩না ফেজ ১/২/৩গী ত্রাইএলগী থাক্তা লৈরি অমসুং ৪ হেনবনা এদবান্সদ প্রি-ক্লিনিকেল দিবেলপমেন্ত স্তেজতা লৈরি। নিতি আয়োগকী মখাদা ওগস্ত ৭, ২০২০দা কোবিদ-১৯গী বেক্সিন মীয়ামদা ফংহনবগী নেস্নেল এক্সপর্ত গ্রুপ অমসু শেমখি। কোবিদ-১৯গী অনাবশিংবু লায়ংবগী পোর্তফোলিও শেমগৎপগীদমক্তা শেমদোক শাদোক্লবা হিদাক ১৩গী ক্লিনিকেল ত্রাএলসু পাঙথোকখি।


    মখা তাবা ওইনা রাজ্য/য়ু.তি.শিংদা কোবিদ-১৯গী কেস মশিং অমসুং ফিভমদা য়ুম্ফম ওইদুনা শেলগী তেংবাং কয়া অমসু পীখ্রে। মসিগী মতুং ইন্না রাজ্য/য়ু.তি.শিংদা ইন্দিয়া কোবিদ-১৯ ইমর্জেন্সী রেস্পোন্স ইন হেল্থ সীস্তেম প্রিপেয়র্দনেস পেকেজকী মখাদা তঙাই ফদবা শেলগী তেংবাংসু পীখি। রাজ্য/য়ু.তি.শিংদা এন.ঐচ.এম.গী মখাদা লৈরিবা রিসোর্সশিং শিজিন্নবা য়াবগী অয়াবা পীদুনা কোবিদ-১৯ শেন্নবগীদমক্তা পব্লিক হেল্থকেয়রগী ফিভম ফগৎহন্নবসু তেংবাংখি।


    শেনবা চহি ২০২০-২১গী মনুংদা ১০/৯/২০২০ ফাওবগী মনুংদা রাজ্য/য়ু.তি.শিংদা অপুনবা শেনফম লুপা করোর ৪২৫৬.৭৯সু থাদোকখ্রে অমসুং রাজ্য খুদিংগী ওইনা অয়াবা পীরবা অমসুং থাদোকখ্রবা শেনফমগী অকুপ্পা মরোলশিং মখাদা পীরিঃ


    মসিগী ৱাফমশিং অসি হকশেল অমসুং য়াইফ য়ুম্বালগী রাজ্য মন্ত্রী শ্রী অশ্বিনি কুমার চৌবেনা ঙসি লোক সভাদা অইবা পাউখুম ওইনা পীখিবনি।


    *****

    
    
    (Release ID: 1656419) Visitor Counter : 1
    
    
      Read this release in: English , Telugu
